year,player,team,votes,surname
1990,Tony Liberatore,Footscray,18,Liberatore
1991,Jim Stynes,Melbourne,25,Stynes
1992,Scott Wynd,Footscray,20,Wynd
1993,Gavin Wanganeen,Essendon,18,Wanganeen
1994,Greg Williams,Carlton,30,Williams
1995,Paul Kelly,Sydney,24,Kelly
1996,James Hird,Essendon,21,Hird
1996,Michael Voss,Brisbane Bears,21,Voss
1997,Robert Harvey,St Kilda,26,Harvey
1998,Robert Harvey,St Kilda,32,Harvey
1999,Shane Crawford,Hawthorn,28,Crawford
2000,Shane Woewodin,Melbourne,24,Woewodin
2001,Jason Akermanis,Brisbane Lions,23,Akermanis
2002,Simon Black,Brisbane Lions,25,Black
2003,Mark Ricciuto,Adelaide,22,Ricciuto
2003,Adam Goodes,Sydney,22,Goodes
2003,Nathan Buckley,Collingwood,22,Buckley
2004,Chris Judd,West Coast,30,Judd
2005,Ben Cousins,West Coast,20,Cousins
2006,Adam Goodes,Sydney,26,Goodes
2007,Jimmy Bartel,Geelong,29,Bartel
2008,Adam Cooney,Western Bulldogs,24,Cooney
2009,Gary Ablett Jr,Geelong,30,Jr
2010,Chris Judd,Carlton,30,Judd
2011,Dane Swan,Collingwood,34,Swan
2012,Sam Mitchell,Hawthorn,26,Mitchell
2012,Trent Cotchin,Richmond,26,Cotchin
2013,Gary Ablett Jr,Gold Coast,28,Jr
2014,Matt Priddis,West Coast,26,Priddis
2015,Nat Fyfe,Fremantle,31,Fyfe
2016,Patrick Dangerfield,Geelong,35,Dangerfield
2017,Dustin Martin,Richmond,36,Martin
2018,Tom Mitchell,Hawthorn,28,Mitchell
2019,Nat Fyfe,Fremantle,33,Fyfe
2020,Lachie Neale,Brisbane Lions,31,Neale
2021,Ollie Wines,Port Adelaide,36,Wines
2022,Patrick Cripps,Carlton,29,Cripps
2023,Lachie Neale,Brisbane Lions,31,Neale
2024,Patrick Cripps,Carlton,45,Cripps
2025,Matt Rowell,Gold Coast,39,Rowell
