team,brownlow_count,state,primary_color
Adelaide,1,SA,#002B5C
Brisbane Lions,5,QLD,#A30046
Carlton,4,VIC,#031A29
Collingwood,2,VIC,#000000
Essendon,2,VIC,#CC2031
Fremantle,2,WA,#2A0D54
Geelong,3,VIC,#1C3C63
Gold Coast,2,QLD,#D71920
Greater Western Sydney,0,NSW,#F47920
Hawthorn,3,VIC,#4D2004
Melbourne,2,VIC,#0F1131
North Melbourne,0,VIC,#013A81
Port Adelaide,1,SA,#008AAB
Richmond,2,VIC,#FFD200
St Kilda,2,VIC,#ED1B2F
Sydney,3,NSW,#ED1B2F
West Coast,3,WA,#003087
Western Bulldogs,3,VIC,#014A99
