year,category,count
1990,Close (<20),47
1990,Tight (20-39),49
1990,Decisive (40-79),50
1990,Blowout (80+),15
1991,Close (<20),51
1991,Tight (20-39),48
1991,Decisive (40-79),52
1991,Blowout (80+),21
1992,Close (<20),49
1992,Tight (20-39),52
1992,Decisive (40-79),54
1992,Blowout (80+),17
1993,Close (<20),49
1993,Tight (20-39),46
1993,Decisive (40-79),44
1993,Blowout (80+),18
1994,Close (<20),59
1994,Tight (20-39),47
1994,Decisive (40-79),52
1994,Blowout (80+),16
1995,Close (<20),58
1995,Tight (20-39),53
1995,Decisive (40-79),58
1995,Blowout (80+),16
1996,Close (<20),50
1996,Tight (20-39),54
1996,Decisive (40-79),61
1996,Blowout (80+),20
1997,Close (<20),69
1997,Tight (20-39),53
1997,Decisive (40-79),49
1997,Blowout (80+),14
1998,Close (<20),75
1998,Tight (20-39),58
1998,Decisive (40-79),38
1998,Blowout (80+),14
1999,Close (<20),59
1999,Tight (20-39),64
1999,Decisive (40-79),55
1999,Blowout (80+),7
2000,Close (<20),58
2000,Tight (20-39),51
2000,Decisive (40-79),53
2000,Blowout (80+),23
2001,Close (<20),56
2001,Tight (20-39),54
2001,Decisive (40-79),59
2001,Blowout (80+),16
2002,Close (<20),71
2002,Tight (20-39),49
2002,Decisive (40-79),57
2002,Blowout (80+),8
2003,Close (<20),67
2003,Tight (20-39),50
2003,Decisive (40-79),62
2003,Blowout (80+),6
2004,Close (<20),57
2004,Tight (20-39),52
2004,Decisive (40-79),63
2004,Blowout (80+),13
2005,Close (<20),66
2005,Tight (20-39),54
2005,Decisive (40-79),51
2005,Blowout (80+),14
2006,Close (<20),70
2006,Tight (20-39),50
2006,Decisive (40-79),53
2006,Blowout (80+),12
2007,Close (<20),67
2007,Tight (20-39),65
2007,Decisive (40-79),41
2007,Blowout (80+),12
2008,Close (<20),61
2008,Tight (20-39),56
2008,Decisive (40-79),56
2008,Blowout (80+),12
2009,Close (<20),70
2009,Tight (20-39),45
2009,Decisive (40-79),58
2009,Blowout (80+),12
2010,Close (<20),62
2010,Tight (20-39),54
2010,Decisive (40-79),57
2010,Blowout (80+),13
2011,Close (<20),63
2011,Tight (20-39),49
2011,Decisive (40-79),65
2011,Blowout (80+),19
2012,Close (<20),60
2012,Tight (20-39),58
2012,Decisive (40-79),64
2012,Blowout (80+),25
2013,Close (<20),68
2013,Tight (20-39),59
2013,Decisive (40-79),62
2013,Blowout (80+),18
2014,Close (<20),76
2014,Tight (20-39),56
2014,Decisive (40-79),59
2014,Blowout (80+),16
2015,Close (<20),63
2015,Tight (20-39),61
2015,Decisive (40-79),65
2015,Blowout (80+),17
2016,Close (<20),63
2016,Tight (20-39),66
2016,Decisive (40-79),61
2016,Blowout (80+),17
2017,Close (<20),83
2017,Tight (20-39),54
2017,Decisive (40-79),56
2017,Blowout (80+),14
2018,Close (<20),74
2018,Tight (20-39),64
2018,Decisive (40-79),56
2018,Blowout (80+),13
2019,Close (<20),81
2019,Tight (20-39),64
2019,Decisive (40-79),51
2019,Blowout (80+),11
2020,Close (<20),66
2020,Tight (20-39),59
2020,Decisive (40-79),37
2020,Blowout (80+),0
2021,Close (<20),83
2021,Tight (20-39),68
2021,Decisive (40-79),46
2021,Blowout (80+),10
2022,Close (<20),81
2022,Tight (20-39),65
2022,Decisive (40-79),53
2022,Blowout (80+),8
2023,Close (<20),92
2023,Tight (20-39),59
2023,Decisive (40-79),53
2023,Blowout (80+),12
2024,Close (<20),87
2024,Tight (20-39),62
2024,Decisive (40-79),57
2024,Blowout (80+),10
2025,Close (<20),92
2025,Tight (20-39),51
2025,Decisive (40-79),54
2025,Blowout (80+),19
