team,premierships,runner_ups,state,primary_color
Adelaide,2,1,SA,#002B5C
Brisbane Lions,5,2,QLD,#A30046
Carlton,1,2,VIC,#031A29
Collingwood,3,4,VIC,#000000
Essendon,2,2,VIC,#CC2031
Fremantle,0,1,WA,#2A0D54
Geelong,4,6,VIC,#1C3C63
Gold Coast,0,0,QLD,#D71920
Greater Western Sydney,0,1,NSW,#F47920
Hawthorn,5,1,VIC,#4D2004
Melbourne,1,1,VIC,#0F1131
North Melbourne,2,1,VIC,#013A81
Port Adelaide,1,1,SA,#008AAB
Richmond,3,0,VIC,#FFD200
St Kilda,0,3,VIC,#ED1B2F
Sydney,2,6,NSW,#ED1B2F
West Coast,4,3,WA,#003087
Western Bulldogs,1,1,VIC,#014A99
