year,games,avg_total_score,avg_margin,home_win_pct
1990,161,199.0,39.6,59.6
1991,172,204.8,40.6,57.0
1992,172,207.6,40.5,55.2
1993,157,209.5,37.8,56.7
1994,174,189.2,37.2,61.5
1995,185,188.5,37.5,56.8
1996,185,188.4,40.9,61.6
1997,185,180.7,34.4,65.9
1998,185,186.8,31.8,63.2
1999,185,191.1,32.7,57.8
2000,185,207.1,38.4,57.8
2001,185,194.6,36.8,50.8
2002,185,189.5,31.7,64.3
2003,185,188.5,33.2,58.4
2004,185,185.6,36.3,62.7
2005,185,189.2,34.3,60.5
2006,185,185.1,34.6,56.2
2007,185,190.7,32.7,57.8
2008,185,194.8,35.9,56.8
2009,185,182.1,33.0,57.8
2010,186,180.3,35.0,60.8
2011,196,185.6,39.8,55.6
2012,207,183.7,40.9,55.6
2013,207,184.8,37.0,55.6
2014,207,173.8,35.4,56.5
2015,206,172.8,37.9,52.9
2016,207,177.3,37.9,59.4
2017,207,178.2,32.2,58.5
2018,207,166.2,33.1,54.6
2019,207,160.4,30.0,57.0
2020,162,121.2,26.2,56.2
2021,207,159.5,30.1,51.7
2022,207,166.2,30.8,59.9
2023,216,166.7,30.6,57.4
2024,216,168.9,31.2,56.9
2025,216,168.8,33.2,55.6
